Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week
2016,2016-11-05 17:00:00,SUS,216,MCD,2700,0,0.0,0.0,6.0,14.0,,20,7.0,17.0,0.0,13.0,,37,-17,2016-11-05,11.0
2016,2016-11-05 17:00:00,LIN,2339,CHO,2804,0,21.0,24.0,14.0,14.0,,73,0.0,0.0,0.0,0.0,,0,73,2016-11-05,11.0
2016,2016-11-05 17:00:00,BCU,2065,MORG,2415,0,3.0,0.0,7.0,0.0,,10,10.0,10.0,7.0,14.0,,41,-31,2016-11-05,11.0
2016,2016-11-05 17:00:00,WAB,89,DEN,2171,0,0.0,0.0,7.0,7.0,,14,14.0,6.0,0.0,2.0,,22,-8,2016-11-05,11.0
2016,2016-11-05 17:00:00,GUI,2258,RAN,2516,0,0.0,14.0,3.0,14.0,,31,7.0,3.0,0.0,0.0,,10,21,2016-11-05,11.0
2016,2016-11-05 17:00:00,HIR,2274,WOO,2748,0,7.0,14.0,14.0,7.0,,42,3.0,0.0,7.0,13.0,,23,19,2016-11-05,11.0
2016,2016-11-05 17:00:00,HOP,2812,ALBI,2790,0,0.0,0.0,6.0,7.0,,13,10.0,3.0,3.0,0.0,,16,-3,2016-11-05,11.0
2016,2016-11-05 17:00:00,UI,389,SIO,2894,0,14.0,9.0,7.0,21.0,,51,7.0,0.0,0.0,0.0,,7,44,2016-11-05,11.0
2016,2016-11-05 17:00:00,SCST,2569,NCAT,2448,0,10.0,6.0,0.0,14.0,,30,6.0,7.0,7.0,0.0,,20,10,2016-11-05,11.0
2016,2016-11-05 17:00:00,MISC,2969,ALB,2015,0,15.0,14.0,14.0,0.0,,43,6.0,8.0,0.0,0.0,,14,29,2016-11-05,11.0
2016,2016-11-05 17:00:00,CLMB,171,HARV,108,0,7.0,0.0,21.0,0.0,,28,0.0,14.0,0.0,7.0,,21,7,2016-11-05,11.0
2016,2016-11-05 17:00:00,WID,2725,KIN,247,0,7.0,0.0,3.0,7.0,,17,17.0,0.0,6.0,7.0,,30,-13,2016-11-05,11.0
2016,2016-11-05 17:00:00,FRO,341,MON,2818,0,0.0,6.0,0.0,0.0,,6,14.0,0.0,10.0,0.0,,24,-18,2016-11-05,11.0
2016,2016-11-05 17:00:00,WEBB,2691,APP,3111,0,0.0,7.0,0.0,7.0,,14,14.0,7.0,21.0,0.0,,42,-28,2016-11-05,11.0
2016,2016-11-05 17:00:00,MER,2385,IND,2291,0,14.0,7.0,3.0,7.0,,31,14.0,3.0,0.0,3.0,,20,11,2016-11-05,11.0
2016,2016-11-05 17:00:00,BUF,2085,ITH,175,0,7.0,0.0,0.0,0.0,,7,0.0,0.0,0.0,0.0,,0,7,2016-11-05,11.0
2016,2016-11-05 17:00:00,LYC,2354,DV,2808,0,0.0,21.0,0.0,7.0,,28,7.0,0.0,7.0,6.0,,20,8,2016-11-05,11.0
2016,2016-11-05 17:00:00,URS,2667,MUH,2422,0,7.0,21.0,14.0,7.0,,49,0.0,0.0,7.0,0.0,,7,42,2016-11-05,11.0
2016,2016-11-05 17:00:00,MTU,426,MUS,332,0,0.0,0.0,0.0,0.0,,0,21.0,7.0,9.0,7.0,,44,-44,2016-11-05,11.0
2016,2016-11-05 17:00:00,COL,33,TUF,112,0,16.0,0.0,14.0,14.0,,44,0.0,9.0,3.0,0.0,,12,32,2016-11-05,11.0
2016,2016-11-05 17:00:00,CSR,2963,WMN,2849,0,9.0,6.0,7.0,0.0,,22,0.0,0.0,11.0,15.0,,26,-4,2016-11-05,11.0
2016,2016-11-05 17:00:00,SHA,2551,STA,395,0,0.0,12.0,14.0,6.0,,32,28.0,7.0,0.0,0.0,,35,-3,2016-11-05,11.0
2016,2016-11-05 17:00:00,HC,107,GTWN,46,0,7.0,10.0,3.0,0.0,,20,14.0,7.0,0.0,0.0,,21,-1,2016-11-05,11.0
2016,2016-11-05 17:05:00,LOC,209,EAS,2188,0,7.0,6.0,14.0,14.0,,41,25.0,20.0,7.0,14.0,,66,-25,2016-11-05,11.0
2016,2016-11-05 17:05:00,CHE,2129,KUT,2315,0,12.0,7.0,13.0,0.0,,32,0.0,0.0,6.0,0.0,,6,26,2016-11-05,11.0
2016,2016-11-05 17:30:00,WIL,2733,ON,427,0,28.0,21.0,21.0,10.0,,80,0.0,3.0,0.0,0.0,,3,77,2016-11-05,11.0
2016,2016-11-05 17:30:00,TUS,2839,CAT,2107,0,7.0,7.0,7.0,7.0,,28,7.0,14.0,3.0,14.0,,38,-10,2016-11-05,11.0
2016,2016-11-05 17:30:00,HUN,2938,MAR,2373,0,0.0,13.0,9.0,2.0,,24,14.0,7.0,7.0,0.0,,28,-4,2016-11-05,11.0
2016,2016-11-05 17:30:00,MIS,2401,SHO,2560,0,0.0,0.0,0.0,0.0,,0,12.0,14.0,6.0,0.0,,32,-32,2016-11-05,11.0
2016,2016-11-05 17:30:00,WOF,2747,FUR,231,0,6.0,7.0,14.0,0.0,,27,7.0,13.0,0.0,14.0,,34,-7,2016-11-05,11.0
2016,2016-11-05 17:30:00,HAN,2262,MAN,2362,0,0.0,14.0,0.0,13.0,,27,14.0,7.0,14.0,14.0,,49,-22,2016-11-05,11.0
2016,2016-11-05 17:30:00,BAL,188,HEI,191,0,7.0,17.0,0.0,13.0,,37,0.0,7.0,6.0,14.0,,27,10,2016-11-05,11.0
2016,2016-11-05 17:30:00,MAR,2369,WIN,351,0,7.0,14.0,21.0,0.0,,42,10.0,14.0,0.0,15.0,,39,3,2016-11-05,11.0
2016,2016-11-05 17:30:00,MTS,2419,DEF,190,0,0.0,7.0,7.0,6.0,,20,7.0,7.0,7.0,0.0,,21,-1,2016-11-05,11.0
2016,2016-11-05 17:30:00,FRA,2233,AND,2023,0,7.0,7.0,14.0,6.0,,34,14.0,14.0,13.0,14.0,,55,-21,2016-11-05,11.0
2016,2016-11-05 17:30:00,BBG,490,KYS,2310,0,14.0,14.0,7.0,0.0,,35,7.0,7.0,6.0,19.0,,39,-4,2016-11-05,11.0
2016,2016-11-05 17:30:00,DART,159,COR,172,0,6.0,0.0,7.0,0.0,,13,0.0,3.0,0.0,14.0,,17,-4,2016-11-05,11.0
2016,2016-11-05 17:30:00,GRO,146,BET,2062,0,6.0,7.0,20.0,0.0,,33,7.0,0.0,0.0,7.0,,14,19,2016-11-05,11.0
2016,2016-11-05 17:30:00,CAP,424,MAR,317,0,7.0,0.0,7.0,13.0,,27,7.0,7.0,7.0,0.0,,21,6,2016-11-05,11.0
2016,2016-11-05 17:30:00,BLU,2074,EAR,2189,0,6.0,0.0,0.0,14.0,,20,21.0,19.0,14.0,0.0,,54,-34,2016-11-05,11.0
2016,2016-11-05 17:30:00,OTT,359,JOH,2302,0,7.0,21.0,7.0,14.0,,49,0.0,3.0,3.0,0.0,,6,43,2016-11-05,11.0
2016,2016-11-05 18:00:00,STC,2594,MIN,568,0,0.0,0.0,0.0,0.0,,0,21.0,3.0,0.0,7.0,,31,-31,2016-11-05,11.0
2016,2016-11-05 18:00:00,CAS,293,BEC,479,0,7.0,7.0,8.0,0.0,,22,7.0,9.0,0.0,7.0,,23,-1,2016-11-05,11.0
2016,2016-11-05 18:00:00,RIP,2891,COR,2155,0,7.0,17.0,7.0,0.0,,31,14.0,0.0,7.0,7.0,,28,3,2016-11-05,11.0
2016,2016-11-05 18:00:00,MNST,2364,WAY,2844,0,17.0,0.0,7.0,6.0,,30,7.0,10.0,10.0,14.0,,41,-11,2016-11-05,11.0
