Season,Start,Away,AwayID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week,HomeBCSSOS,HomeRPI,AwayBCSSOS,AwayRPI
2013,2013-09-07 23:00:00,HAMP,2261,W&M,2729,0,10,7,7,7,,31,0,0,0,7,,7,24,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,FRO,341,GEN,2242,0,7,27,13,0,,47,3,0,0,0,,3,44,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,STET,56,FLTH,53,0,0,3,3,14,,20,7,3,0,3,,13,7,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,WAY,2844,NOR,425,0,0,0,0,14,7,29,7,0,0,7,7,27,2,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,SAM,2535,ARK,8,0,14,3,0,14,,31,7,0,14,0,,21,10,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,SFA,2617,TTU,2641,0,28,17,16,0,,61,7,0,0,6,,13,48,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,DUB,49,WIS,2740,0,0,3,14,7,,24,14,7,7,7,,35,-11,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,CATH,2108,MCD,2700,0,0,3,0,13,,16,13,21,14,0,,48,-32,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,STC,2594,SWM,2587,0,0,21,7,7,,35,14,7,21,7,,49,-14,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,ARK,2028,EAS,2191,0,14,19,13,0,,46,5,3,14,0,,22,24,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,AZU,2049,GVSU,125,0,17,7,7,7,,38,0,0,14,3,,17,21,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,CAI,2098,MURR,93,0,41,21,21,0,,83,0,14,0,0,,14,69,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,UNT,249,OHIO,195,0,7,14,0,6,,27,7,0,7,7,,21,6,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,TXCL,2637,IW,2916,0,14,28,17,10,,69,0,0,0,0,,0,69,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,STC,618,OKP,2824,0,3,23,9,0,,35,0,13,0,0,,13,22,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,HOP,2812,NOR,75,0,14,0,7,0,,21,3,10,22,6,,41,-20,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,TEX,251,BYU,252,0,10,17,13,0,,40,7,7,7,0,,21,19,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,SDSU,2571,UND,155,0,7,0,7,14,,28,7,14,7,7,,35,-7,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,MTS,2419,AUG,2042,0,7,6,0,7,,20,0,7,3,0,,10,10,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,MAR,317,CSR,2963,0,6,14,10,7,,37,2,0,0,14,,16,21,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:05:00,WES,2848,EWU,331,0,29,0,7,7,,43,0,0,0,14,,14,29,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:30:00,ARST,2032,AUB,2,0,14,7,7,10,,38,3,0,6,0,,9,29,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:30:00,PEAY,2046,VAN,238,0,3,35,0,0,,38,0,0,3,0,,3,35,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:37:00,UAB,5,LSU,99,0,21,14,21,0,,56,0,17,0,0,,17,39,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-08 00:00:00,MTST,147,SMU,2567,0,5,14,3,9,,31,8,14,8,0,,30,1,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-08 00:00:00,MIL,2398,MIS,2401,0,3,3,7,6,,19,7,14,14,17,,52,-33,2013-09-07,2,0,0,0,0
2013,2013-09-08 00:00:00,HAW,62,ORST,204,0,7,7,14,5,,33,0,14,0,0,,14,19,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-08 00:00:00,AND,2023,TAY,620,0,23,22,6,7,,58,0,0,7,0,,7,51,2013-09-07,2,0,0,0,0
2013,2013-09-08 00:00:00,NMH,2424,EAS,2201,0,0,7,7,14,,28,7,14,3,7,,31,-3,2013-09-07,2,0,0,0,0
2013,2013-09-08 00:00:00,WHE,396,BEN,2283,0,7,6,7,7,,27,7,17,17,7,,48,-21,2013-09-07,2,0,0,0,0
2013,2013-09-08 00:00:00,UNM,167,UTEP,2638,0,0,21,7,7,0,35,7,14,0,14,7,42,-7,2013-09-07,2,0,0,0,0
2013,2013-09-08 00:00:00,UCA,2110,COLO,38,0,7,7,3,21,,38,0,14,3,7,,24,14,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-08 00:00:00,RIP,2891,WIS,2741,0,0,10,7,7,,24,7,10,7,7,,31,-7,2013-09-07,2,0,0,0,0
2013,2013-09-08 00:00:00,MINN,135,NMSU,166,0,0,7,7,7,,21,3,24,3,14,,44,-23,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-08 00:00:00,NEO,196,PIT,90,0,14,14,10,7,,45,0,0,0,6,,6,39,2013-09-07,2,0,0,0,0
2013,2013-09-08 00:00:00,ND,87,MICH,130,0,10,17,7,7,,41,7,6,7,10,,30,11,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-08 00:00:00,BEL,2056,LAC,2347,0,6,22,7,3,,38,0,0,7,0,,7,31,2013-09-07,2,0,0,0,0
2013,2013-09-08 00:05:00,FOR,2237,SUU,253,0,21,21,7,0,,49,0,0,0,0,,0,49,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-08 00:30:00,UAPB,2029,MCNS,2377,0,14,23,14,7,,58,7,7,0,0,,14,44,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-08 01:00:00,WES,2703,USD,301,0,17,7,7,7,,38,7,13,7,8,,35,3,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-08 01:00:00,SIM,2829,HUM,2278,0,10,7,7,3,,27,7,7,20,7,,41,-14,2013-09-07,2,0,0,0,0
2013,2013-09-08 01:00:00,MEN,2381,MESA,11,0,7,14,3,10,,34,0,0,0,0,,0,34,2013-09-07,2,0,0,0,0
2013,2013-09-08 01:05:00,UCD,302,NEV,2440,0,13,7,13,3,,36,0,7,0,0,,7,29,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-08 02:00:00,MAR,2371,RED,29,0,3,3,0,7,,13,7,14,10,0,,31,-18,2013-09-07,2,0,0,0,0
2013,2013-09-08 02:00:00,CP,13,FRES,278,0,10,24,7,0,,41,0,0,10,15,,25,16,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-08 02:30:00,ARIZ,12,UNLV,2439,0,0,6,0,7,,13,17,28,3,10,,58,-45,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-08 02:30:00,WSU,265,USC,30,0,0,7,0,0,,7,0,7,0,3,,10,-3,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-08 03:00:00,SJSU,23,STAN,24,0,7,10,10,7,,34,3,3,7,0,,13,21,2013-09-07,2,0,0,0,0
2013,2013-09-12 23:00:00,MAR,2951,MAS,110,0,3,7,7,7,,24,0,10,10,0,,20,4,2013-09-12,3,0,0,0,0
2013,2013-09-12 23:00:00,NEB,2438,EMP,2214,0,14,17,3,0,,34,0,7,7,7,,21,13,2013-09-12,3,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-12 23:30:00,MAR,2369,SHO,2560,0,16,7,0,7,,30,7,7,6,21,,41,-11,2013-09-12,3,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-12 23:30:00,TCU,2628,TTU,2641,0,10,0,0,10,,20,0,0,3,7,,10,10,2013-09-12,3,0.0833333333,0.3125,0.0833333333,0.3125
2013,2013-09-12 23:30:00,TROY,2653,ARST,2032,0,20,0,14,7,,41,7,14,7,6,,34,7,2013-09-12,3,0.375,0.40625,0.375,0.40625
2013,2013-09-12 23:30:00,TULN,2655,LT,2348,0,6,3,0,6,,15,7,0,10,7,,24,-9,2013-09-12,3,0.2083333333,0.28125,0.2083333333,0.28125
2013,2013-09-13 00:00:00,STMN,2900,WIS,2723,0,0,7,0,0,,7,8,7,7,3,,25,-18,2013-09-13,3,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-13 00:00:00,CHA,2123,WES,2704,0,3,3,10,18,,34,21,3,7,0,,31,3,2013-09-13,3,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-13 18:00:00,SUL,2834,EAS,2201,1,0,20,14,21,,55,0,12,6,6,,24,31,2013-09-13,3,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-13 21:00:00,DEL,2170,TXA,2837,0,14,7,7,17,,45,10,6,14,7,,37,8,2013-09-13,3,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-13 23:00:00,WPI,2749,WOR,402,0,9,0,0,6,,15,6,0,8,0,,14,1,2013-09-13,3,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-13 23:00:00,ASP,2038,BEN,2060,0,0,14,0,0,,14,7,3,10,0,,20,-6,2013-09-13,3,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-13 23:00:00,WES,2702,WES,2909,0,0,9,10,14,,33,0,0,0,7,,7,26,2013-09-13,3,0.3333333333,0.5,0.3333333333,0.5
