user,item,rating
2013.0-10.0-12.0-344.0|189.0,SpreadPinnacle,-11.5
2013.0-10.0-12.0-344.0|189.0,SpreadSBG,-11
2013.0-10.0-12.0-344.0|189.0,SpreadSIA,-11.49956634982411
2013.0-10.0-12.0-344.0|189.0,SpreadSportsbet,-11.5
2013.0-10.0-12.0-344.0|189.0,SpreadStation,-11.5
2013.0-10.0-12.0-344.0|189.0,SpreadWag,-11
2013.0-10.0-12.0-344.0|189.0,SpreadWestgate,-12
2013.0-10.0-12.0-349.0|2199.0,SpreadMirage,-10.00445027685162
2013.0-10.0-12.0-349.0|2199.0,SpreadPinnacle,-10
2013.0-10.0-12.0-349.0|2199.0,SpreadSBG,-10
2013.0-10.0-12.0-349.0|2199.0,SpreadSIA,-10
2013.0-10.0-12.0-349.0|2199.0,SpreadSportsbet,-10.5
2013.0-10.0-12.0-349.0|2199.0,SpreadStation,-10.123666414018045
2013.0-10.0-12.0-349.0|2199.0,SpreadWag,-9.5
2013.0-10.0-12.0-349.0|2199.0,SpreadWestgate,-10
2013.0-10.0-12.0-36.0|23.0,SpreadMirage,-3.5
2013.0-10.0-12.0-36.0|23.0,SpreadPinnacle,-3
2013.0-10.0-12.0-36.0|23.0,SpreadSBG,-3.5
2013.0-10.0-12.0-36.0|23.0,SpreadSIA,-3.5
2013.0-10.0-12.0-36.0|23.0,SpreadSportsbet,-3
2013.0-10.0-12.0-36.0|23.0,SpreadStation,-4
2013.0-10.0-12.0-36.0|23.0,SpreadWag,-4
2013.0-10.0-12.0-36.0|23.0,SpreadWestgate,-3.5
2013.0-10.0-12.0-41.0|58.0,SpreadMirage,-4.5
2013.0-10.0-12.0-41.0|58.0,SpreadPinnacle,-4
2013.0-10.0-12.0-41.0|58.0,SpreadSBG,-4
2013.0-10.0-12.0-41.0|58.0,SpreadSIA,-4
2013.0-10.0-12.0-41.0|58.0,SpreadSportsbet,-4
2013.0-10.0-12.0-41.0|58.0,SpreadStation,-4.1021810501948295
2013.0-10.0-12.0-41.0|58.0,SpreadWag,-4
2013.0-10.0-12.0-41.0|58.0,SpreadWestgate,-4.5
2013.0-10.0-12.0-61.0|142.0,SpreadMirage,-7
2013.0-10.0-12.0-61.0|142.0,SpreadPinnacle,-6.5
2013.0-10.0-12.0-61.0|142.0,SpreadSBG,-6.5
2013.0-10.0-12.0-61.0|142.0,SpreadSIA,-7
2013.0-10.0-12.0-61.0|142.0,SpreadSportsbet,-6.5
2013.0-10.0-12.0-61.0|142.0,SpreadStation,-6.5
2013.0-10.0-12.0-61.0|142.0,SpreadWag,-7
2013.0-10.0-12.0-61.0|142.0,SpreadWestgate,-6.5
2013.0-10.0-12.0-8.0|2579.0,SpreadMirage,4.5
2013.0-10.0-12.0-8.0|2579.0,SpreadPinnacle,5
2013.0-10.0-12.0-8.0|2579.0,SpreadSBG,4
2013.0-10.0-12.0-8.0|2579.0,SpreadSIA,5
2013.0-10.0-12.0-8.0|2579.0,SpreadSportsbet,5
2013.0-10.0-12.0-8.0|2579.0,SpreadStation,5
2013.0-10.0-12.0-8.0|2579.0,SpreadWag,4.5
