user,item,rating
120|127,SpreadSIA,11
120|127,SpreadSportsbet,10.5
120|127,SpreadStation,12
120|127,SpreadWag,NA
120|127,SpreadWestgate,11
120|164,SpreadMirage,-7.5
120|164,SpreadPinnacle,-7.5
120|164,SpreadSBG,-7.5
120|164,SpreadSIA,-7.5
120|164,SpreadSportsbet,-7.5
120|164,SpreadStation,-7.5
120|164,SpreadWag,-8
120|164,SpreadWestgate,-7.5
120|194,SpreadMirage,7
120|194,SpreadPinnacle,6.5
120|194,SpreadSBG,6.5
120|194,SpreadSIA,7
120|194,SpreadSportsbet,6.5
120|194,SpreadStation,6.5
120|194,SpreadWag,6
120|194,SpreadWestgate,6.5
120|2294,SpreadMirage,-3.5
120|2294,SpreadPinnacle,-4
120|2294,SpreadSBG,-4
120|2294,SpreadSIA,-4
120|2294,SpreadSportsbet,-3.5
120|2294,SpreadStation,-4
120|2294,SpreadWag,-3.5
120|2294,SpreadWestgate,-3.5
120|256,SpreadMirage,NA
120|256,SpreadPinnacle,NA
120|256,SpreadSBG,NA
120|256,SpreadSIA,NA
120|256,SpreadSportsbet,-24.5
120|256,SpreadStation,NA
120|256,SpreadWag,NA
120|256,SpreadWestgate,NA
120|277,SpreadMirage,-3
120|277,SpreadPinnacle,-3
120|277,SpreadSBG,-3
120|277,SpreadSIA,-3
120|277,SpreadSportsbet,-3.5
120|277,SpreadStation,-3.5
120|277,SpreadWag,-3
120|277,SpreadWestgate,-3
121|2731,SpreadMirage,NA
121|2731,SpreadPinnacle,NA
121|2731,SpreadSBG,NA
121|2731,SpreadSIA,NA
121|2731,SpreadSportsbet,NA
121|2731,SpreadStation,NA
121|2731,SpreadWag,NA
121|2731,SpreadWestgate,NA
121|33,SpreadMirage,NA
121|33,SpreadPinnacle,NA
121|33,SpreadSBG,NA
121|33,SpreadSIA,NA
121|33,SpreadSportsbet,NA
121|33,SpreadStation,NA
121|33,SpreadWag,NA
121|33,SpreadWestgate,NA
121|336,SpreadMirage,NA
121|336,SpreadPinnacle,NA
121|336,SpreadSBG,NA
121|336,SpreadSIA,NA
121|336,SpreadSportsbet,NA
121|336,SpreadStation,NA
121|336,SpreadWag,NA
121|336,SpreadWestgate,NA
121|348,SpreadMirage,NA
121|348,SpreadPinnacle,NA
121|348,SpreadSBG,NA
121|348,SpreadSIA,NA
121|348,SpreadSportsbet,NA
121|348,SpreadStation,NA
121|348,SpreadWag,NA
121|348,SpreadWestgate,NA
124|162,SpreadMirage,NA
124|162,SpreadPinnacle,NA
124|162,SpreadSBG,NA
124|162,SpreadSIA,NA
124|162,SpreadSportsbet,NA
124|162,SpreadStation,NA
124|162,SpreadWag,NA
124|162,SpreadWestgate,NA
124|2152,SpreadMirage,NA
124|2152,SpreadPinnacle,NA
124|2152,SpreadSBG,NA
124|2152,SpreadSIA,NA
124|2152,SpreadSportsbet,NA
124|2152,SpreadStation,NA
124|2152,SpreadWag,NA
124|2152,SpreadWestgate,NA
124|2600,SpreadMirage,NA
124|2600,SpreadPinnacle,NA
124|2600,SpreadSBG,NA
124|2600,SpreadSIA,NA
124|2600,SpreadSportsbet,NA
124|2600,SpreadStation,NA
124|2600,SpreadWag,NA
124|2600,SpreadWestgate,NA
124|2685,SpreadMirage,NA
124|2685,SpreadPinnacle,NA
124|2685,SpreadSBG,NA
124|2685,SpreadSIA,NA
124|2685,SpreadSportsbet,NA
124|2685,SpreadStation,NA
124|2685,SpreadWag,NA
124|2685,SpreadWestgate,NA
124|2968,SpreadMirage,NA
124|2968,SpreadPinnacle,NA
124|2968,SpreadSBG,NA
124|2968,SpreadSIA,NA
124|2968,SpreadSportsbet,NA
124|2968,SpreadStation,NA
124|2968,SpreadWag,NA
124|2968,SpreadWestgate,NA
125|131,SpreadMirage,NA
125|131,SpreadPinnacle,NA
125|131,SpreadSBG,NA
125|131,SpreadSIA,NA
125|131,SpreadSportsbet,NA
125|131,SpreadStation,NA
125|131,SpreadWag,NA
125|131,SpreadWestgate,NA
125|2477,SpreadMirage,NA
125|2477,SpreadPinnacle,NA
125|2477,SpreadSBG,NA
125|2477,SpreadSIA,NA
125|2477,SpreadSportsbet,NA
125|2477,SpreadStation,NA
125|2477,SpreadWag,NA
125|2477,SpreadWestgate,NA
125|2838,SpreadMirage,NA
125|2838,SpreadPinnacle,NA
125|2838,SpreadSBG,NA
125|2838,SpreadSIA,NA
125|2838,SpreadSportsbet,NA
125|2838,SpreadStation,NA
125|2838,SpreadWag,NA
125|2838,SpreadWestgate,NA
125|308,SpreadMirage,NA
125|308,SpreadPinnacle,NA
125|308,SpreadSBG,NA
125|308,SpreadSIA,NA
125|308,SpreadSportsbet,NA
125|308,SpreadStation,NA
125|308,SpreadWag,NA
