Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2013,2013-09-07 23:00:00,0,CSU,TLSA,27,30,9,1,1,29,2,36,167,22,4,2,39,1,44,215
2013,2013-09-07 23:00:00,0,SAM,ARK,21,31,13,0,0,29,0,24,112,22,2,2,17,0,53,333
2013,2013-09-07 23:00:00,0,UNT,OHIO,21,27,14,2,2,29,2,38,104,20,1,1,30,2,40,203
2013,2013-09-07 23:00:00,0,SHSU,TA&M,28,65,14,1,0,16,2,42,240,38,1,0,48,1,39,214
2013,2013-09-07 23:00:00,0,SAV,TROY,3,66,10,3,1,25,1,24,14,27,0,0,32,0,40,251
2013,2013-09-07 23:30:00,0,ARST,AUB,9,38,24,2,1,42,0,38,138,23,2,1,19,0,50,301
2013,2013-09-07 23:30:00,0,PEAY,VAN,3,38,6,5,1,16,0,34,85,21,0,0,29,1,35,169
2013,2013-09-07 23:37:00,0,UAB,LSU,17,56,17,1,1,25,0,43,160,22,2,1,20,0,34,152
2013,2013-09-08 00:00:00,0,MINN,NMSU,44,21,21,1,0,15,1,43,342,21,2,1,40,0,41,103
2013,2013-09-08 00:00:00,0,MTST,SMU,30,31,25,0,0,27,0,44,160,22,2,2,48,0,26,144
2013,2013-09-08 00:00:00,0,UNM,UTEP,42,35,25,1,1,7,0,57,395,22,0,0,20,0,46,280
2013,2013-09-08 00:00:00,0,ND,MICH,30,41,23,0,0,53,2,19,96,25,1,0,33,1,39,166
2013,2013-09-08 00:00:00,0,UCA,COLO,24,38,19,1,1,55,3,26,60,23,3,2,36,2,34,84
2013,2013-09-08 00:00:00,0,HAW,ORST,14,33,15,2,0,32,1,25,69,24,2,0,50,1,33,57
2013,2013-09-08 01:05:00,0,UCD,NEV,7,36,11,2,0,27,2,25,118,30,2,1,27,0,64,267
2013,2013-09-08 02:00:00,0,CP,FRES,25,41,16,3,1,27,0,49,172,23,1,1,34,0,40,162
2013,2013-09-08 02:30:00,0,ARIZ,UNLV,58,13,25,2,1,21,0,69,397,10,2,1,28,2,35,157
2013,2013-09-08 02:30:00,0,WSU,USC,10,7,12,2,1,38,2,22,7,14,1,0,21,2,42,139
2013,2013-09-08 03:00:00,0,SJSU,STAN,13,34,22,0,0,44,1,23,35,25,1,1,27,0,41,197
2013,2013-09-12 23:30:00,0,TCU,TTU,10,20,23,1,0,38,2,44,207,16,1,0,45,3,26,43
2013,2013-09-12 23:30:00,0,TROY,ARST,34,41,30,1,1,58,3,37,110,26,0,0,35,0,43,228
2013,2013-09-12 23:30:00,0,TULN,LT,24,15,17,3,3,36,1,44,129,14,1,1,44,1,31,124
2013,2013-09-14 00:00:00,0,AFA,BSU,20,42,17,0,0,10,1,52,188,31,2,1,31,1,41,229
2013,2013-09-14 16:00:00,0,UCLA,NEB,41,21,27,3,0,25,1,53,210,21,4,1,35,0,42,128
2013,2013-09-14 16:00:00,0,TLSA,OKLA,20,51,19,0,0,33,1,31,95,27,0,0,37,0,44,194
2013,2013-09-14 16:00:00,0,BGSU,IND,10,42,24,2,1,51,1,36,136,25,2,2,26,0,48,266
2013,2013-09-14 16:00:00,0,LOU,UK,27,13,22,1,1,28,0,41,242,17,3,2,37,1,31,162
2013,2013-09-14 16:00:00,0,AKR,MICH,24,28,21,0,0,49,2,30,107,19,2,1,30,3,32,177
2013,2013-09-14 16:00:00,0,GAST,WVU,7,41,10,1,1,18,0,33,136,30,0,0,41,1,42,245
2013,2013-09-14 16:00:00,0,WIU,MINN,12,29,11,1,0,23,0,30,68,18,3,1,12,0,49,213
2013,2013-09-14 16:00:00,0,VT,ECU,15,10,18,0,0,43,1,34,53,15,1,0,31,3,23,46
2013,2013-09-14 16:00:00,0,STAN,ARMY,34,20,17,2,1,22,1,34,197,18,2,1,10,0,61,284
2013,2013-09-14 16:21:00,0,USM,ARK,3,24,16,1,0,34,2,31,119,17,3,0,11,1,56,258
2013,2013-09-14 16:30:00,0,UNM,PITT,27,49,16,4,1,17,0,52,213,23,2,2,18,2,34,283
2013,2013-09-14 16:30:00,0,ULM,WAKE,21,19,26,0,0,69,2,35,109,15,2,1,48,0,15,15
2013,2013-09-14 17:00:00,0,EMU,RUTG,10,28,21,1,0,40,1,40,38,12,1,0,13,0,29,185
2013,2013-09-14 17:00:00,0,FOR,TEM,30,29,26,0,0,36,0,45,200,27,1,1,26,1,49,245
2013,2013-09-14 18:00:00,0,YSU,MSU,17,55,8,3,2,27,0,20,51,30,2,1,32,0,49,277
2013,2013-09-14 19:00:00,0,BC,USC,7,35,12,1,0,24,0,26,101,21,1,0,19,0,43,257
