Visiter,Home,SpreadWag,OverUnderWag,Year,Month,Day,HomeID,VisID
UCLA,Arizona State,8.0,57.5,2016,10,8,9,26
Colorado,USC,-5.5,62.0,2016,10,8,30,38
Miami (OH),Akron,-11.0,54.5,2016,10,8,2006,193
Texas Tech,Kansas State,-10.0,68.0,2016,10,8,2306,2641
Arizona,Utah,-9.5,53.5,2016,10,8,254,12
ECU,USF,-15.5,67.0,2016,10,8,58,151
Charlotte,FAU,-13.0,61.0,2016,10,9,2226,2429
Georgia,South Carolina,7.5,42.0,2016,10,9,2579,61
Appalachian St,LA-Lafayette,10.0,48.5,2016,10,12,309,2026
Duke,Louisville,-34.0,70.0,2016,10,14,97,150
Memphis,Tulane,12.0,52.0,2016,10,14,2655,235
Miss St,BYU,-7.0,56.0,2016,10,14,252,344
San Diego State,Fresno State,18.5,51.5,2016,10,14,278,21
E Michigan,Ohio,-7.0,55.0,2016,10,15,195,2199
Bowling Green,Toledo,-31.5,71.0,2016,10,15,2649,189
Ball State,Buffalo,10.0,51.5,2016,10,15,2084,2050
UConn,USF,-20.0,54.0,2016,10,15,58,41
VT,Syracuse,22.0,65.0,2016,10,15,183,259
Temple,UCF,-3.5,51.5,2016,10,15,2116,218
Iowa,Purdue,12.0,52.0,2016,10,15,2509,2294
Iowa State,Texas,-16.5,69.0,2016,10,15,251,66
UNC,Miami (FL),-6.5,66.5,2016,10,15,2390,153
Northwestern,Michigan State,-6.5,42.0,2016,10,15,127,77
Kansas State,Oklahoma,-13.0,56.5,2016,10,15,201,2306
Nebraska,Indiana,3.5,58.0,2016,10,15,84,158
Southern Miss,LSU,-24.5,0.0,2016,10,15,99,2572
Pitt,UVA,3.0,61.5,2016,10,15,258,221
West Virginia,Texas Tech,2.5,82.5,2016,10,15,2641,277
Ga Southern,Georgia Tech,-10.0,48.5,2016,10,15,59,290
Georgia State,Troy,-18.5,54.5,2016,10,15,2653,2247
South Alabama,Arkansas State,-4.5,55.0,2016,10,15,2032,6
UTSA,Rice,2.5,53.0,2016,10,15,242,2636
Cent Michigan,N Illinois,-1.0,61.0,2016,10,15,2459,2117
Alabama,Tennessee,13.5,54.5,2016,10,15,2633,333
Ole Miss,Arkansas,8.5,66.0,2016,10,15,8,145
Kansas,Baylor,-33.0,65.5,2016,10,15,239,2305
Wake Forest,FSU,-23.5,52.5,2016,10,15,52,154
W Kentucky,Mid Tennessee,1.0,75.5,2016,10,15,2393,98
Texas State,UL Monroe,-7.5,66.0,2016,10,15,2433,326
Stanford,Notre Dame,-3.5,53.0,2016,10,15,87,24
OSU,Wisconsin,10.5,46.5,2016,10,15,275,194
New Mexico St,Idaho,-4.0,68.0,2016,10,15,70,166
USC,Arizona,13.0,62.5,2016,10,15,12,30
Colorado State,Boise State,-28.0,59.0,2016,10,15,68,36
Utah,Oregon State,7.0,43.5,2016,10,15,204,254
Nevada,San Jose State,-2.0,56.5,2016,10,15,23,2440
North Carolina St,Clemson,-19.5,61.0,2016,10,15,228,152
LA Tech,UMass,18.0,63.5,2016,10,15,113,2348
New Mexico,Air Force,-14.0,54.0,2016,10,15,2005,167
Tulsa,Houston,-23.0,70.0,2016,10,15,248,202
W Michigan,Akron,13.5,68.0,2016,10,15,2006,2711
Minnesota,Maryland,-5.5,49.5,2016,10,15,120,135
Missouri,Florida,-13.5,51.0,2016,10,15,57,142
FAU,Marshall,-12.5,61.5,2016,10,15,276,2226
Vanderbilt,Georgia,-14.0,43.0,2016,10,15,61,238
Arizona State,Colorado,-10.0,62.0,2016,10,15,38,9
FIU,Charlotte,2.5,55.5,2016,10,15,2429,2229
Illinois,Rutgers,3.5,51.5,2016,10,15,164,356
UCLA,Washington St,-9.5,51.0,2016,10,15,265,26
Kent State,Miami (OH),1.0,43.5,2016,10,15,193,2309
UNLV,Hawaii,-9.5,55.0,2016,10,16,62,2439
Miami (FL),VT,-6.0,53.0,2016,10,20,259,2390
Troy,South Alabama,8.5,49.5,2016,10,20,6,2653
BYU,Boise State,-7.0,57.5,2016,10,20,68,252
USF,Temple,6.5,59.5,2016,10,21,218,58
San Jose State,San Diego State,-23.0,48.0,2016,10,21,21,23
Oregon,Cal,2.0,89.5,2016,10,21,25,2483
North Texas,Army,-17.5,47.5,2016,10,22,349,249
E Michigan,W Michigan,-25.5,62.5,2016,10,22,2711,2199
Syracuse,Boston College,-3.5,50.0,2016,10,22,103,183
TCU,West Virginia,-6.0,64.5,2016,10,22,277,2628
Indiana,Northwestern,-3.0,54.0,2016,10,22,77,84
Purdue,Nebraska,-24.0,60.0,2016,10,22,158,2509
Oklahoma State,Kansas,23.5,61.0,2016,10,22,2305,197
Wisconsin,Iowa,3.5,42.5,2016,10,22,2294,275
UNC,UVA,10.0,67.5,2016,10,22,258,153
North Carolina St,Louisville,-19.0,65.0,2016,10,22,97,152
Cent Michigan,Toledo,-10.0,61.5,2016,10,22,2649,2117
LA Tech,FIU,17.5,65.5,2016,10,22,2229,2348
Hawaii,Air Force,-17.0,58.5,2016,10,22,2005,62
LA-Lafayette,Texas State,5.5,65.0,2016,10,22,326,309
Idaho,Appalachian St,-21.5,52.5,2016,10,22,2026,70
UMass,South Carolina,-20.5,46.0,2016,10,22,2579,113
Charlotte,Marshall,-9.0,60.0,2016,10,22,276,2429
UL Monroe,New Mexico,-16.5,60.5,2016,10,22,167,2433
Buffalo,N Illinois,-24.0,60.5,2016,10,22,2459,2084
UCF,UConn,4.0,46.0,2016,10,22,41,2116
Washington St,Arizona State,7.5,65.0,2016,10,22,9,265
Oklahoma,Texas Tech,14.5,85.5,2016,10,22,2641,201
Houston,SMU,23.0,61.0,2016,10,22,2567,248
Memphis,Navy,-1.0,57.0,2016,10,22,2426,235
Wyoming,Nevada,7.0,53.0,2016,10,22,2440,2751
Tulane,Tulsa,-10.5,54.5,2016,10,22,202,2655
Miami (OH),Bowling Green,-2.5,52.5,2016,10,22,189,193
Miss St,Kentucky,5.0,53.5,2016,10,22,96,344
UTEP,UTSA,-10.5,47.0,2016,10,22,2636,2638
Old Dominion,W Kentucky,-14.0,65.0,2016,10,22,98,295
Mid Tennessee,Missouri,-7.5,72.0,2016,10,22,142,2393
Ga Southern,New Mexico St,14.0,65.0,2016,10,22,166,290
Ole Miss,LSU,-7.5,60.0,2016,10,22,99,145
Arkansas,Auburn,-10.5,53.0,2016,10,22,2,8
